slug,label,caption,vocab1,fact1,vocab2,fact2,vocab3,fact3
garage-plastic,Garage,"Hi, I am Sanitation Worker Katia from Brooklyn. We start off our shift by clocking-in at our local garage then set out to pick up your household trash or recyclables.",,"In our Brooklyn 15 Annex garage, there is a mural painted by a Sanitation Worker which pays homage to American History, with detailed illustrations of the American Flag and a Bald Eagle!",,"Our logo hasn’t always looked the way it does today. It wasn’t until 1929 we became the Department of Sanitation we know today, and our logo became the most current caduceus: a winged staff with two serpents wrapped around it which represents good health.",,
curbside-plastic,Curbside Pickup,"MGP––your metal, glass, plastic and carton recycling––is picked up by my fellow Sanitation Workers, and thrown into a DSNY collection truck.",DSNY,"The NYC Department of Sanitation––which you might know as DSNY––is the world’s largest sanitation department. We’ve been keeping NYC healthy, safe and clean since 1881!",,,,
sims,Materials Recovery Facility,"After completing our collection route, we head to the Sims Sunset Park Material Recovery Facility (MRF). The DSNY collection truck unloads your MGP recyclables onto the tipping floor, a giant room where recyclables are unloaded into massive piles.",Sims,"Sims is a company that operates numerous recycling facilities throughout the city. They process 100% of the metal, glass and plastic collected by DSNY at their facilities.",Material Recovery Facility (MRF),A Materials Recovery Facility (MRF) is somewhere that processes recyclable materials to sell as raw materials for new products.,,
sorting,Sorting,"From the tipping floor, the recycling is pushed into the sorting system by a front-end loader. Alternatively––depending what equipment is available––your recyclables are picked up and dropped into the sorting system by a giant crane, known as an excavator.",front-end loader,Front-end loaders are big vehicles with a scoop in front for lifting and loading loose material. ,,,,
liberator,Liberator,"At this point, the recyclables first pass through a slow-speed shredder, known as the liberator, that rips open your clear recycling bags.",,,,,,
optical-plastic,Optical Scanners,"Your plastics move along conveyor belts that pass under Optical Scanners. When the scanner filters out nonrecyclable plastics, it cues an air jet at the end of the conveyor belt that shoots the item onto another conveyor.",optical scanners,Optical scanners are high tech cameras that use Near Infrared Light (NIR) technology to scan recyclables. NIR technology can identify different types of plastics and other materials.,,,,
quality-plastic,Quality Control,"The quality control team cleans up what has already been sorted, removing any remaining residue or trash from the recyclables",,,,,,
end-plastic,Recycled!,"After being baled, plastics are loaded onto trucks and head out to be made into new products for sale.","Your recycled plastic bottle can be made into new bottles, textiles, and carpeting. Who knows, you could be drinking from, wearing, or walking upon the bottle you recycled!",,baled,The process of tightly bounding waste material into cubes.,,
