slug,label,caption,vocab1,fact1,vocab2,fact2,vocab3,fact3
garage-glass,Garaje,"Hola, soy Renee, empleada de saneamiento de Staten Island. Comenzamos nuestro turno al marcar la entrada en nuestro taller local y luego salimos a recoger la basura o los materiales reciclables de su casa.",,Nuestro taller de Staten Island 1 ¡es una antigua estación de tranvía!,,"Nuestro logotipo no siempre ha tenido el aspecto que el de hoy en día. No fue hasta 1929 que nos convertimos en el Departamento de Saneamiento que conocemos hoy, y que nuestro logotipo pasó a ser el caduceo más actual: un bastón alado con dos serpientes envueltas a su alrededor que representa la buena salud.",,
curbside-glass,Recolección en aceras,"Sus artículos de metal, vidrio, plástico (MVP) y cartón reciclables los recogen mis compañeros de saneamiento y los vierten en un camión de basura del Departamento de Saneamiento de la Ciudad de Nueva York (New York City Department of Sanitation, DSNY).",DSNY,"El Departamento de Saneamiento de la Ciudad de Nueva York (NYC Department of Sanitation) mejor conocido como el DSNY, es el departamento de saneamiento más grande del mundo. ¡Hemos mantenido a Nueva York sana, segura y limpia desde 1881!",,,,
sims,Sims,"Al terminar la ruta de recogido, nos dirigimos a Sims Material Recovery Facility en Jersey City para descargar. El camión de basura de DSNY descarga MVP reciclables en la zona de vertido, un cuarto gigante donde se descargan materiales reciclables en pilas enormes.",Sims,"Sims es una empresa que opera numerosas instalaciones de reciclaje en toda la ciudad. Procesa el 100 % del metal, del vidrio y del plástico recolectado por el DSNY en sus instalaciones.",Instalación de recuperación de materiales,"La instalación de recuperación de materiales (Materials Recovery Facility, MRF) es un lugar que procesa material reciclable para venderlo como materia prima.",,"La planta de vidrio Sims en la ciudad de Jersey procesa de 10.000 a 12.000 toneladas al mes de botellas de vidrio, provenientes de los programas de reciclaje de la ciudad de Nueva York y Nueva Jersey."
sorting,Clasificación,"Un cargador frontal empuja el reciclaje de la zona de vertido al sistema de clasificación. Como alternativa, una grúa gigante que llaman excavadora recoge los materiales reciclables y los deposita en el sistema de clasificación, o según el equipo a disposición.",cargador frontal,Los cargadores frontales son vehículos grandes con una pala en la parte delantera para levantar y cargar material suelto.,,,,
liberator,Triturador Liberator,"A continuación, los reciclables entran en el sistema de clasificación y pasan primero por una trituradora de baja velocidad que abre las bolsas de reciclaje y se le conoce como Liberator",,,,,,
screens,Criba de discos,"Luego de que el Liberator abra las bolsas de reciclaje, los reciclables pasan sobre filas de barras de metal giratorias que se les conoce como cribas de disco. Mientras el metal y el plástico reciclables pasan por encima de las pantallas de disco giratorio, el vidrio golpea las barras de metal y se rompe en pedazos pequeños, los cuales caen a través de las aberturas entre las cribas de disco y los atrapa otra cinta transportadora.",,,,,,
barge-glass,Planta de vidrio,El vidrio separado pasa de las cribas de disco a una barcaza que lo transporta a una planta donde se clasifica por tamaño y color.,,,,,,
optical-glass,RGA,"Por último, los trozos de vidrio transparente, marrón y verde más grandes se clasifican a ojo y se utilizan para fabricar botellas nuevas. Los más pequeños y los que no son transparente, marrón o verde se transforman en conglomerado de vidrio reciclado (CVR) para uso en proyectos de construcción.",,,,,,
end-glass,¡Reciclado!,"La próxima vez que camine por la acera, recuerde que el vidrio que arrojó en el cubo de reciclaje ¡podría ser parte de la acera por la que está caminando!",,,,,,
