slug,label,caption,vocab1,fact1,vocab2,fact2,vocab3,fact3
garage-plastic,Garaje,"Hola, soy Katia, empleada de saneamiento de Brooklyn. Comenzamos nuestro turno al marcar la entrada en nuestro taller local y luego salimos a recoger la basura o los materiales reciclables de su casa.",,"En nuestro taller Brooklyn 15 Annex, hay un mural pintado que pintó un empleado de saneamiento en homenaje a la historia estadounidense, con ilustraciones detalladas de la bandera americana y un águila calva.",,"Nuestro logotipo no siempre ha tenido el aspecto que el de hoy en día. No fue hasta 1929 que nos convertimos en el Departamento de Saneamiento que conocemos hoy, y que nuestro logotipo pasó a ser el caduceo más actual: un bastón alado con dos serpientes envueltas a su alrededor que representa la buena salud.",,
curbside-plastic,Recolección en aceras,"Sus artículos de metal, vidrio, plástico (MVP) y cartón reciclables los recogen mis compañeros de saneamiento y los vierten en un camión de basura del Departamento de Saneamiento de la Ciudad de Nueva York (New York City Department of Sanitation, DSNY).",Departamento de Saneamiento de la Ciudad de Nueva York,"El Departamento de Saneamiento de la Ciudad de Nueva York (NYC Department of Sanitation) mejor conocido como el DSNY, es el departamento de saneamiento más grande del mundo. ¡Hemos mantenido a Nueva York sana, segura y limpia desde 1881!",,,,
sims,Sims,"Al terminar la ruta de recogido, nos dirigimos a Sims Sunset Park Material Recovery Facility. El camión de basura de DSNY descarga MVP reciclables en la zona de vertido, un cuarto gigante donde se descargan materiales reciclables en pilas enormes.",Sims,"Sims es una empresa que opera numerosas instalaciones de reciclaje en toda la ciudad. Procesa el 100 % del metal, del vidrio y del plástico recolectado por el DSNY en sus instalaciones.",Material Recovery Facility,"La instalación de recuperación de materiales (Materials Recovery Facility, MRF) es un lugar que procesa material reciclable para venderlo como materia prima.",,
sorting,Clasificación,"Un cargador frontal empuja el reciclaje de la zona de vertido al sistema de clasificación. Como alternativa, una grúa gigante que llaman excavadora recoge los materiales reciclables y los deposita en el sistema de clasificación, o según el equipo a disposición.",cargador frontal,Los cargadores frontales son vehículos grandes con una pala en la parte delantera para levantar y cargar material suelto.,,,,
liberator,Triturador Liberator,"A continuación, los reciclables entran en el sistema de clasificación y pasan primero por una trituradora de baja velocidad que abre las bolsas de reciclaje y se le conoce como Liberator.",,,,,,
optical-plastic,Escáneres ópticos,"Los plásticos se mueven a lo largo de cintas transportadoras que pasan por debajo de lectores ópticos. A medida que el lector filtra los plásticos que no se pueden reciclar, lanza un chorro de aire al final de la cinta transportadora que dispara el artículo a otra cinta.",lectores ópticos,"Los lectores ópticos son cámaras de tecnología punta que analizan materiales reciclables mediante radiación infrarroja cercana (RIC), la cual identifica tipos de plásticos distintos y demás materiales.",,,,
quality-plastic,Control de calidad,El equipo de control de calidad limpia lo que ya ha sido clasificado al eliminar cualquier rastro de basura de los materiales reciclables.,,,,,,
end-plastic,¡Reciclado!,"Luego de embalados, los plásticos se cargan en camiones y se dirigen a la fabricación de nuevos productos para la venta.",,"Su botella de plástico reciclado se puede transformar en botellas, textiles y alfombras nuevas. Quién sabe: ¡su botella, vestimenta o sendero podrían estar hechos con la botella que acaba de reciclar!",empacado,Allí se lleva a cabo el proceso de compactar el material de desecho en cubos.,,
