slug,label,caption,vocab1,fact1,vocab2,fact2,vocab3,fact3
garage,车库,大家好，我是来自 Queens 的环卫工人 Tuhina。我们在我们当地的车库打卡上班，然后出发去收集你们的生活垃圾或可回收物。,,我们现在的 Queens 西部 1 号车库以前是个马场！,,我们的标志并不总是像今天这样。直到1929年，我们才发展成为我们今天所知道的环卫局，我们的标志也成为了最新的代表图案：一根长着翅膀的棍子，上面缠着两条蛇，象征着健康。,,
curbside-landfill,路边拾集,当从人行道上收集完垃圾后，我们的环卫工人会前往 North Shore Marine 转运站。,,"我们的 2006 年固体废物管理计划 (Solid Waste Management Plan) 通过大幅减少垃圾收集车的出行次数，每年减少了 6,000 万英里的垃圾收集车出行里程。",海上中转站,垃圾在被收集后会被送往中转站，以便将其运送至最终目的地。其中一些转运站位于水边；我们称之为海上中转站（Marine Transfer Stations）。平均每天有2200吨固体垃圾会通过北岸海上中转站。,,
weighing,称重,在进入之前，会对垃圾收集车进行称重，这样我们可以确定装载物的吨位。也会进行辐射扫描。如果检测结果为阳性，则收集车会被转移走以确保保护我们的环卫工人。,,,,,,
tipping-landfill,卸料间,称重后，DSNY 的雇员将出现在倾卸场，以将垃圾收集车司机引导至可用的倾卸区。,DSNY,纽约市环卫局（NYC Department of Sanitation，DSNY）是世界上最大的环卫部门。自1881年以来，我们一直保持纽约的健康、安全和清洁！,卸料间,倾倒区是一个巨大的房间，可回收物被堆卸成几大堆。,,
loading,装料台,DSNY 垃圾收集车里的垃圾将卸载到位于高架倾卸区下方的装载台上。两个前端装载机将垃圾推入一个可用的集装箱中，然后由挖掘机进行压缩。,前端装载机,前端装载机是一种大型车辆，前面有一个铲斗，用于抬起和装载松散材料。,,,,
lidding,封盖间,集装箱填满后，封盖区的环卫工人会将集装箱密封。,封盖间,封盖间是将盖子固定在垃圾箱上的地方。,,,,
crane-landfill,装载驳船,从此时开始，集装箱就由私人承包商负责，由他们用起重机将集装箱装载到驳船上。,,,,,,
barge-landfill,驳船转铁路,这艘驳船和装满垃圾的集装箱由拖船引导至集装箱码头，在那里将集装箱卸载到火车上。,拖船,拖船是拖拽、推动或拉动其他船只的小船。在这里，我们的驳船通过一根拖缆（这是一根非常结实的绳子）与拖船相连。,,,,
end-landfill,垃圾填埋,最终，火车离开后，装满垃圾的集装箱被送到废物发电能源转化设施或者在垃圾填埋场倾倒。,,在美国，垃圾填埋场是甲烷气体的第三大来源，其温室效应是二氧化碳的 34 倍。想要在对抗气候变化影响中贡献一份力量吗？避免使用垃圾桶以及尽量减少垃圾，做到重复使用或循环利用！,,,,
