slug,label,caption,vocab1,fact1,vocab2,fact2,vocab3,fact3
garage-glass,车库,大家好，我是来自 Staten Island 的环卫工人 Renee。我们在我们当地的车库打卡上班，然后出发去收集你们的生活垃圾或可回收物。,,我们的 Staten Island 1 号车库原来是电车车站！,,我们的标志并非始终是现在这样。直到 1929 年我们才成为今天大家所熟知的卫生局，我们的标志也变成了最流行的双蛇杖：一根顶端带有翅膀、上面缠绕着两条蛇的权杖，寓意是健康。,,
curbside-glass,路边拾集,MGP（您的金属、玻璃、塑料和纸板回收物），由我的环卫工同事们收集，然后扔进 DSNY 垃圾收集车中。,DSNY,纽约市环卫局（NYC Department of Sanitation，DSNY）是世界上最大的环卫部门。自1881年以来，我们一直保持纽约的健康、安全和清洁！,,,,
sims,Sims,"材料回收设施 (Materials Recovery Facility, MRF) 是负责将可回收材料处理为再次出售的新产品原材料的地方。",Sims,Sims是一家在纽约市运营众多回收设施的公司。他们处理DSNY在其设施内收集的所有金属、玻璃和塑料。,材料回收设施,"材料回收设施 (Materials Recovery Facility, MRF) 是负责将可回收材料处理为再次出售的新产品原材料的地方。",,泽西市的Sims玻璃厂每月处理10-12000吨来自纽约和新泽西回收项目的玻璃瓶。
sorting,分类,可回收物由前端装载机从倾卸场推入分拣系统。或者，视可用的设备而定，你们的可回收物由巨大的起重机（称为“挖掘机”）抬起来，放入分拣系统中。,前端装载机,前端装载机是一种大型车辆，前面有一个铲斗，用于抬起和装载松散材料。,,,,
liberator,回收处理机,此时，可回收物首先通过称为“解放者”的低速粉碎机，它可以撕开你们的透明可回收袋子。,,,,,,
screens,圆盘筛,在解放者撕开可回收袋子后，所有的可回收物通过几排旋转的金属棒，这些金属棒被称为“圆盘筛”。当金属和塑料可回收物在旋转的圆盘筛上滚动时，玻璃撞击到金属棒，碎成小块。这些小块玻璃从圆盘筛之间的开口中掉落，落在下方的另一条传送带上。,,,,,,
barge-glass,玻璃厂,通过圆盘筛后，分离后的玻璃被装载到驳船上，继续送往玻璃工厂，在那里进一步按尺寸和颜色进行分类。,,,,,,
optical-glass,RGA,"最终，较大块的透明、棕色和绿色玻璃将通过光学方法分类，然后用于制作新的瓶子。较小块的玻璃或不透明、并非棕色或绿色的小块玻璃被送往回收玻璃骨料厂 (Recycled Glass Aggregate, RGA)，用于未来的建筑工程。",,,,,,
end-glass,可循环使用！,下次当你们走在人行道上时，请记得你们扔进可回收物垃圾箱里的玻璃，它可能就是您正在行走的人行道的一部分！,,,,,,
