slug,label,caption,vocab1,fact1,vocab2,fact2,vocab3,fact3
garage-plastic,车库,大家好，我是来自 Brooklyn 的环卫工人 Katia。我们在我们当地的车库打卡上班，然后出发去收集你们的生活垃圾或可回收物。,,在我们的 Brooklyn 15 号附属车库，有一幅由环卫工人绘制的壁画，它致敬美国历史，上面有美国国旗和秃鹰的详细插图！,,我们的标志并不总是像今天这样。直到1929年，我们才发展成为我们今天所知道的环卫局，我们的标志也成为了最新的代表图案：一根长着翅膀的棍子，上面缠着两条蛇，象征着健康。,,
curbside-plastic,路边拾集,MGP（您的金属、玻璃、塑料和纸板回收物），由我的环卫工同事们收集，然后扔进 DSNY 垃圾收集车中。,DSNY,纽约市环卫局（NYC Department of Sanitation，DSNY）是世界上最大的环卫部门。自1881年以来，我们一直保持纽约的健康、安全和清洁！,,,,
sims,材料回收设施,在结束我们的收集路线后，我们前往 Sims 落日公园材料回收设施 (Material Recovery Facility，MRF)。DSNY 垃圾收集车将你们的 MGP 可回收物卸载到倾卸场。倾卸场是一个巨大的空间，可回收物在其中被卸载成几个大堆。,Sims,Sims是一家在纽约市运营众多回收设施的公司。他们处理DSNY在其设施内收集的所有金属、玻璃和塑料。,材料回收设施,材料回收设施（Materials Recovery Facility，MRF）是负责将可回收材料处理为再次出售的新产品原的材料的地方。,,
sorting,分类,可回收物由前端装载机从倾卸场推入分拣系统。或者，视可用的设备而定，你们的可回收物由巨大的起重机（称为“挖掘机”）抬起来，放入分拣系统中。,前端装载机,前端装载机是一种大型车辆，前面有一个铲斗，用于抬起和装载松散材料。,,,,
liberator,回收处理机,此时，可回收物首先通过称为“解放者”的低速粉碎机，它可以撕开你们的透明可回收袋子。,,,,,,
optical-plastic,光学扫描仪,你们的塑料沿着传送带在光学扫描仪下移动。当扫描仪过滤到不可回收的塑料时，它会提示传送带末端的空气喷嘴，该喷嘴会将该物品喷送到另一个传送带上。,光学扫描仪,光学扫描仪是一种利用近红外光 (NIR) 技术扫描可回收物的高科技摄像头。NIR 技术可以识别不同类型的塑料和其他材料。,,,,
quality-plastic,品质控制,质量控制小组清理已经分类的物品，从可回收物中清除任何剩余的残渣或垃圾。,,,,,,
end-plastic,可循环使用！,塑料在打包后，被装载到卡车上运送出去，制成新产品出售。,回收的塑料瓶可以制成新的瓶子、纺织品和地毯。你们可能正在用回收的瓶子喝东西、穿着它们或着走在它们上面，这又有谁知道呢！,,大捆的,将废料紧密地粘合成立方体的过程。,,
